,Incident Day of Week,Incident Category,Intersection,Latitude,Longitude
3963,Wednesday,Fraud,20TH ST \ GUERRERO ST,37.75836454766479,-122.423488532466
3964,Sunday,Malicious Mischief,19TH ST \ GUERRERO ST,37.75996737508222,-122.42364130874256
3965,Thursday,Burglary,GUERRERO ST \ CUMBERLAND ST,37.759164226885794,-122.42361294279785
3966,Thursday,Burglary,22ND ST \ GUERRERO ST,37.755169793091,-122.4231810012334
3967,Friday,Other Miscellaneous,LIBERTY ST \ GUERRERO ST,37.75757006215989,-122.42336725813213
3968,Monday,Missing Person,20TH ST \ GUERRERO ST,37.75836454766479,-122.423488532466
3969,Friday,Miscellaneous Investigation,ELIZABETH ST \ GUERRERO ST,37.752777617803204,-122.42290957373044
3970,Tuesday,Recovered Vehicle,GUERRERO ST \ LAGUNA ST \ MARKET ST,37.770747744629546,-122.42485259980008
3971,Thursday,Motor Vehicle Theft,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3972,Monday,Motor Vehicle Theft,15TH ST \ GUERRERO ST,37.76640576627656,-122.42425811457072
3973,Friday,Burglary,15TH ST \ GUERRERO ST,37.76640576627656,-122.42425811457072
3974,Friday,Malicious Mischief,18TH ST \ GUERRERO ST,37.76156567221035,-122.42380067197969
3975,Friday,Burglary,HILL ST \ GUERRERO ST,37.755970966730814,-122.42321453596978
3976,Monday,Recovered Vehicle,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3977,Monday,Assault,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3978,Wednesday,Larceny Theft,26TH ST \ GUERRERO ST,37.74877289682655,-122.42257106316357
3979,Friday,Other Offenses,15TH ST \ GUERRERO ST,37.76640576627656,-122.42425811457072
3980,Tuesday,Fraud,LIBERTY ST \ GUERRERO ST,37.75757006215989,-122.42336725813213
3981,Sunday,Assault,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3982,Friday,Larceny Theft,GUERRERO ST \ CUMBERLAND ST,37.759164226885794,-122.42361294279785
3983,Monday,Recovered Vehicle,15TH ST \ GUERRERO ST,37.76640576627656,-122.42425811457072
3984,Friday,Missing Person,20TH ST \ GUERRERO ST,37.75836454766479,-122.423488532466
3985,Sunday,Larceny Theft,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3986,Tuesday,Suspicious Occ,26TH ST \ GUERRERO ST,37.74877289682655,-122.42257106316357
3987,Monday,Assault,GUERRERO ST \ DUBOCE AVE,37.76973469514724,-122.42458109059116
3988,Friday,Larceny Theft,27TH ST \ GUERRERO ST,37.74717191411707,-122.42238353723677
3989,Friday,Assault,16TH ST \ GUERRERO ST,37.76478345128393,-122.42410268505228
3990,Wednesday,Motor Vehicle Theft,GUERRERO ST \ 14TH ST,37.76800642408289,-122.42441169103962
3991,Sunday,Motor Vehicle Theft,17TH ST \ GUERRERO ST,37.76316782362078,-122.42395924405315
3992,Wednesday,Burglary,SAN JOSE AVE \ 28TH ST \ GUERRERO ST,37.7455788126339,-122.42221829226034
