,Incident Day of Week,Incident Category,Intersection,Latitude,Longitude,probability,rate,overnight,openSpaces,numberOfCameras
80,Wednesday,Fraud,29TH ST \ DOLORES ST,37.74383822,-122.4243849,26,0,1,1,12
81,Thursday,Assault,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,67,0,1,6,12
82,Wednesday,Fraud,29TH ST \ DOLORES ST,37.74383822,-122.4243849,32,0,1,1,4
83,Thursday,Larceny Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,73,0,1,8,12
84,Wednesday,Recovered Vehicle,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,36,0,1,5,12
85,Monday,Larceny Theft,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,47,0,1,2,12
86,Wednesday,Offences Against The Family And Children,29TH ST \ MISSION ST,37.74403763,-122.4208937,42,0,1,3,12
87,Friday,Larceny Theft,29TH ST \ MISSION ST,37.74403763,-122.4208937,59,0,1,18,11
88,Saturday,Motor Vehicle Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,41,0,1,4,9
89,Wednesday,Larceny Theft,29TH ST \ NOE ST,37.74343074,-122.4311003,42,0,1,5,12
90,Saturday,Burglary,29TH ST \ DOLORES ST,37.74383822,-122.4243849,67,0,1,9,11
91,Wednesday,Burglary,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,27,0,1,1,-1
92,Wednesday,Fraud,29TH ST \ DOLORES ST,37.74383822,-122.4243849,70,0,1,14,12
93,Saturday,Recovered Vehicle,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,,0,1,0,9
94,Saturday,Larceny Theft,29TH ST \ NOE ST,37.74343074,-122.4311003,36,0,1,6,-1
95,Sunday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,61,0,1,4,12
96,Saturday,Larceny Theft,29TH ST \ MISSION ST,37.74403763,-122.4208937,36,0,1,12,12
97,Wednesday,Larceny Theft,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,78,0,1,4,11
98,Thursday,Recovered Vehicle,29TH ST \ CHURCH ST,37.74369958,-122.4266704,29,0,1,3,12
99,Friday,Other Miscellaneous,29TH ST \ DOLORES ST,37.74383822,-122.4243849,87,0,1,7,12
100,Tuesday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,56,0,1,5,11
101,Friday,Motor Vehicle Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,82,0,1,4,12
102,Tuesday,Miscellaneous Investigation,29TH ST \ MISSION ST,37.74403763,-122.4208937,39,0,1,3,12
103,Tuesday,Lost Property,29TH ST \ MISSION ST,37.74403763,-122.4208937,46,0,1,4,12
104,Wednesday,Forgery And Counterfeiting,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,78,0,1,3,12
105,Monday,Motor Vehicle Theft,29TH ST \ DOLORES ST,37.74383822,-122.4243849,60,0,1,3,11
106,Saturday,Malicious Mischief,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,33,0,1,4,9
107,Sunday,Burglary,29TH ST \ NOE ST,37.74343074,-122.4311003,58,0,1,4,9
108,Wednesday,Burglary,29TH ST \ NOE ST,37.74343074,-122.4311003,45,0,1,4,11
109,Saturday,Motor Vehicle Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,65,0,1,5,11
110,Friday,Larceny Theft,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,34,0,1,3,12
111,Wednesday,Other Miscellaneous,29TH ST \ MISSION ST,37.74403763,-122.4208937,41,0,1,2,11
112,Thursday,Lost Property,29TH ST \ CHURCH ST,37.74369958,-122.4266704,68,0,1,3,12
113,Friday,Motor Vehicle Theft,29TH ST \ MISSION ST,37.74403763,-122.4208937,40,0,1,2,11
114,Saturday,Non-Criminal,29TH ST \ CHURCH ST,37.74369958,-122.4266704,39,0,1,3,11
115,Saturday,Non-Criminal,29TH ST \ CHURCH ST,37.74369958,-122.4266704,82,0,1,4,4
116,Thursday,Other Miscellaneous,29TH ST \ DIAMOND ST,37.74316145,-122.435559,46,0,1,2,11
117,Wednesday,Malicious Mischief,29TH ST \ CHURCH ST,37.74369958,-122.4266704,24,0,1,2,12
118,Tuesday,Larceny Theft,29TH ST \ MISSION ST,37.74403763,-122.4208937,42,0,1,3,4
119,Sunday,Non-Criminal,29TH ST \ DIAMOND ST,37.74316145,-122.435559,76,0,1,6,12
120,Tuesday,Larceny Theft,29TH ST \ DOLORES ST,37.74383822,-122.4243849,32,0,1,1,12
121,Friday,Non-Criminal,29TH ST \ DOLORES ST,37.74383822,-122.4243849,78,0,1,6,12
122,Monday,Disorderly Conduct,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,26,0,1,1,-1
123,Friday,Fraud,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,67,0,1,6,12
124,Sunday,Assault,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,32,0,1,1,12
125,Thursday,Fraud,29TH ST \ MISSION ST,37.74403763,-122.4208937,73,0,1,8,11
126,Friday,Other Miscellaneous,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,36,0,1,5,12
127,Sunday,Recovered Vehicle,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,47,0,1,2,12
128,Wednesday,Traffic Violation Arrest,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,42,0,1,3,12
129,Saturday,Malicious Mischief,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,45,0,1,4,4
130,Thursday,Larceny Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,58,0,1,4,12
131,Tuesday,Arson,29TH ST \ DOLORES ST,37.74383822,-122.4243849,34,0,1,3,12
132,Tuesday,Other,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,65,0,1,5,12
133,Wednesday,Traffic Violation Arrest,29TH ST \ MISSION ST,37.74403763,-122.4208937,60,0,1,3,5
134,Thursday,Burglary,ZIRCON PL \ 29TH ST,37.74321758,-122.4346217,33,0,1,4,4
135,Thursday,Traffic Violation Arrest,29TH ST \ DIAMOND ST,37.74316145,-122.435559,46,0,1,2,-1
136,Thursday,Motor Vehicle Theft,29TH ST \ NOE ST,37.74343074,-122.4311003,40,0,1,2,12
137,Tuesday,Malicious Mischief,29TH ST \ MISSION ST,37.74403763,-122.4208937,39,0,1,3,12
138,Monday,Malicious Mischief,29TH ST \ MISSION ST,37.74403763,-122.4208937,82,0,1,4,11
139,Sunday,Larceny Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,24,0,1,2,5
140,Monday,Larceny Theft,ZIRCON PL \ 29TH ST,37.74321758,-122.4346217,76,0,1,6,4
141,Monday,Malicious Mischief,29TH ST \ DIAMOND ST,37.74316145,-122.435559,32,0,1,1,4
142,Saturday,Other Miscellaneous,29TH ST \ DIAMOND ST,37.74316145,-122.435559,42,0,1,3,12
143,Saturday,Burglary,29TH ST \ DOLORES ST,37.74383822,-122.4243849,26,0,1,1,12
144,Friday,Non-Criminal,29TH ST \ DOLORES ST,37.74383822,-122.4243849,78,0,1,6,12
145,Wednesday,Larceny Theft,29TH ST \ MISSION ST,37.74403763,-122.4208937,41,0,1,2,4
146,Saturday,Burglary,29TH ST \ DIAMOND ST,37.74316145,-122.435559,68,0,1,3,12
147,Wednesday,Malicious Mischief,29TH ST \ MISSION ST,37.74403763,-122.4208937,33,0,1,4,11
148,Monday,Burglary,29TH ST \ CHURCH ST,37.74369958,-122.4266704,60,0,1,3,4
149,Saturday,Burglary,29TH ST \ DIAMOND ST,37.74316145,-122.435559,58,0,1,4,5
150,Sunday,Burglary,ZIRCON PL \ 29TH ST,37.74321758,-122.4346217,71,0,1,3,12
151,Wednesday,Other Miscellaneous,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,36,0,1,1,12
152,Saturday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,54,0,1,1,11
153,Wednesday,Burglary,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,43,0,1,1,12
154,Friday,Suspicious Occ,29TH ST \ MISSION ST,37.74403763,-122.4208937,,inf,0,0,11
155,Sunday,Larceny Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,35,0,1,3,12
156,Saturday,Non-Criminal,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,47,0,1,2,4
157,Tuesday,Larceny Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,42,0,1,3,12
158,Monday,Malicious Mischief,29TH ST \ MISSION ST,37.74403763,-122.4208937,73,0,1,8,9
159,Friday,Burglary,29TH ST \ NOE ST,37.74343074,-122.4311003,81,0,1,11,4
160,Saturday,Non-Criminal,29TH ST \ DIAMOND ST,37.74316145,-122.435559,83,0,1,11,11
161,Friday,Malicious Mischief,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,76,0,1,6,12
162,Thursday,Lost Property,29TH ST \ MISSION ST,37.74403763,-122.4208937,89,0,1,12,12
163,Saturday,Non-Criminal,29TH ST \ MISSION ST,37.74403763,-122.4208937,86,0,1,8,12
164,Saturday,Motor Vehicle Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,38,0,1,1,11
165,Wednesday,Burglary,29TH ST \ CHURCH ST,37.74369958,-122.4266704,92,0,1,7,11
166,Wednesday,Recovered Vehicle,29TH ST \ CHURCH ST,37.74369958,-122.4266704,93,0,1,16,11
167,Saturday,Courtesy Report,29TH ST \ CHURCH ST,37.74369958,-122.4266704,94,0,1,9,11
168,Sunday,Other Miscellaneous,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,,inf,0,0,12
169,Thursday,Other Miscellaneous,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,85,0,1,16,12
170,Tuesday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,,inf,0,0,12
171,Tuesday,Burglary,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,50,0,1,1,12
172,Saturday,Assault,29TH ST \ MISSION ST,37.74403763,-122.4208937,89,0,1,12,12
173,Tuesday,Larceny Theft,29TH ST \ DOLORES ST,37.74383822,-122.4243849,83,0,1,5,12
174,Monday,Malicious Mischief,29TH ST \ MISSION ST,37.74403763,-122.4208937,43,0,1,1,12
175,Saturday,Non-Criminal,29TH ST \ MISSION ST,37.74403763,-122.4208937,71,0,1,6,12
176,Monday,Non-Criminal,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,89,0,1,21,12
177,Sunday,Non-Criminal,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,45,0,1,4,12
178,Friday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,58,0,1,4,11
179,Friday,Miscellaneous Investigation,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,33,0,1,4,12
180,Sunday,Malicious Mischief,29TH ST \ MISSION ST,37.74403763,-122.4208937,60,0,1,3,4
181,Thursday,Assault,29TH ST \ DIAMOND ST,37.74316145,-122.435559,65,0,1,5,9
182,Friday,Burglary,29TH ST \ NOE ST,37.74343074,-122.4311003,34,0,1,3,11
183,Tuesday,Arson,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,41,0,1,2,12
184,Wednesday,Non-Criminal,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,68,0,1,3,4
185,Friday,Malicious Mischief,29TH ST \ DIAMOND ST,37.74316145,-122.435559,46,0,1,2,4
186,Thursday,Non-Criminal,29TH ST \ DIAMOND ST,37.74316145,-122.435559,67,0,1,6,11
187,Saturday,Larceny Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,32,0,1,1,12
188,Saturday,Burglary,29TH ST \ DOLORES ST,37.74383822,-122.4243849,36,0,1,5,12
189,Tuesday,Other Miscellaneous,29TH ST \ MISSION ST,37.74403763,-122.4208937,81,0,1,11,12
190,Sunday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,83,0,1,11,4
191,Saturday,Larceny Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,76,0,1,6,12
192,Thursday,Traffic Violation Arrest,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,89,0,1,12,11
193,Saturday,Assault,29TH ST \ CHURCH ST,37.74369958,-122.4266704,86,0,1,8,11
194,Friday,Non-Criminal,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,38,0,1,1,12
195,Wednesday,Larceny Theft,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,92,0,1,7,12
196,Thursday,Recovered Vehicle,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,93,0,1,16,12
197,Saturday,Larceny Theft,29TH ST \ MISSION ST,37.74403763,-122.4208937,94,0,1,9,11
198,Wednesday,Motor Vehicle Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,,inf,0,0,9
199,Monday,Larceny Theft,29TH ST \ NOE ST,37.74343074,-122.4311003,85,0,1,16,4
200,Monday,Non-Criminal,29TH ST \ DIAMOND ST,37.74316145,-122.435559,,inf,0,0,12
201,Tuesday,Motor Vehicle Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,50,0,1,1,9
202,Saturday,Fraud,29TH ST \ NOE ST,37.74343074,-122.4311003,89,0,1,12,11
203,Tuesday,Non-Criminal,29TH ST \ CHURCH ST,37.74369958,-122.4266704,83,0,1,5,12
204,Sunday,Lost Property,29TH ST \ MISSION ST,37.74403763,-122.4208937,43,0,1,1,12
205,Friday,Malicious Mischief,29TH ST \ MISSION ST,37.74403763,-122.4208937,71,0,1,6,12
206,Tuesday,Larceny Theft,29TH ST \ MISSION ST,37.74403763,-122.4208937,89,0,1,21,12
207,Thursday,Robbery,29TH ST \ MISSION ST,37.74403763,-122.4208937,45,0,1,4,12
208,Friday,Larceny Theft,29TH ST \ DOLORES ST,37.74383822,-122.4243849,58,0,1,4,12
209,Sunday,Malicious Mischief,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,33,0,1,4,11
210,Saturday,Fraud,29TH ST \ CHURCH ST,37.74369958,-122.4266704,60,0,1,3,12
211,Thursday,Assault,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,65,0,1,5,12
212,Wednesday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,34,0,1,3,4
213,Thursday,Motor Vehicle Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,41,0,1,2,12
214,Friday,Larceny Theft,29TH ST \ MISSION ST,37.74403763,-122.4208937,68,0,1,3,4
215,Sunday,Assault,29TH ST \ DIAMOND ST,37.74316145,-122.435559,46,0,1,2,12
216,Tuesday,Assault,29TH ST \ MISSION ST,37.74403763,-122.4208937,67,0,1,6,11
217,Friday,Larceny Theft,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,32,0,1,1,12
218,Tuesday,Drug Offense,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,36,0,1,5,12
219,Monday,Other Offenses,29TH ST \ MISSION ST,37.74403763,-122.4208937,85,0,1,20,12
220,Saturday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,90,0,1,8,11
221,Sunday,Larceny Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,94,0,1,12,12
222,Friday,Other Miscellaneous,29TH ST \ MISSION ST,37.74403763,-122.4208937,83,0,1,6,12
223,Friday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,87,0,1,12,6
224,Saturday,Fraud,29TH ST \ CASTRO ST \ DAY ST,37.743296,-122.4333195,92,0,1,10,12
225,Friday,Larceny Theft,29TH ST \ DOLORES ST,37.74383822,-122.4243849,82,0,1,4,12
226,Saturday,Larceny Theft,29TH ST \ DOLORES ST,37.74383822,-122.4243849,83,0,1,4,11
227,Monday,Malicious Mischief,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,81,0,1,4,5
228,Tuesday,Malicious Mischief,ZIRCON PL \ 29TH ST,37.74321758,-122.4346217,86,0,1,6,12
229,Monday,Other Offenses,29TH ST \ DOLORES ST,37.74383822,-122.4243849,46,0,1,4,4
230,Tuesday,Larceny Theft,29TH ST \ DIAMOND ST,37.74316145,-122.435559,78,0,1,3,12
231,Sunday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,83,0,1,5,12
232,Wednesday,Malicious Mischief,29TH ST \ MISSION ST,37.74403763,-122.4208937,43,0,1,1,12
233,Friday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,78,0,1,6,11
234,Friday,Burglary,29TH ST \ CHURCH ST,37.74369958,-122.4266704,83,0,1,9,12
235,Sunday,Burglary,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,81,0,1,11,12
236,Sunday,Warrant,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,83,0,1,11,12
237,Thursday,Lost Property,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,76,0,1,6,12
238,Friday,Non-Criminal,29TH ST \ MISSION ST,37.74403763,-122.4208937,89,0,1,12,12
239,Saturday,Non-Criminal,29TH ST \ MISSION ST,37.74403763,-122.4208937,86,0,1,8,4
240,Thursday,Burglary,29TH ST \ DIAMOND ST,37.74316145,-122.435559,38,0,1,1,11
241,Saturday,Fraud,29TH ST \ CHURCH ST,37.74369958,-122.4266704,92,0,1,7,12
242,Wednesday,Burglary,29TH ST \ MISSION ST,37.74403763,-122.4208937,93,0,1,16,11
243,Monday,Motor Vehicle Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,94,0,1,9,-1
244,Thursday,Courtesy Report,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,,inf,0,0,5
245,Tuesday,Larceny Theft,ZIRCON PL \ 29TH ST,37.74321758,-122.4346217,85,0,1,16,9
246,Friday,Larceny Theft,29TH ST \ NOE ST,37.74343074,-122.4311003,,inf,0,0,12
247,Thursday,Assault,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,50,0,1,1,11
248,Tuesday,Burglary,29TH ST \ SANCHEZ ST,37.74356534,-122.4288827,89,0,1,12,12
249,Saturday,Larceny Theft,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,83,0,1,5,12
250,Friday,Larceny Theft,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,43,0,1,1,12
251,Thursday,Suspicious Occ,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,71,0,1,6,12
252,Sunday,Offences Against The Family And Children,29TH ST \ MISSION ST,37.74403763,-122.4208937,89,0,1,21,12
253,Friday,Burglary,29TH ST \ DOLORES ST,37.74383822,-122.4243849,46,0,1,4,12
254,Thursday,Other Miscellaneous,29TH ST \ MISSION ST,37.74403763,-122.4208937,78,0,1,3,12
255,Monday,Burglary,29TH ST \ SAN JOSE AVE,37.74394224,-122.4226694,53,0,1,6,11
256,Wednesday,Larceny Theft,29TH ST \ CHURCH ST,37.74369958,-122.4266704,85,0,1,12,-1
257,Monday,Larceny Theft,29TH ST \ TIFFANY AVE,37.74397945,-122.4219768,63,0,1,12,4
