,probability,rate,overnight,openSpaces
347,30.0,0.0,1,5
348,59.0,0.0,1,18
349,41.0,0.0,1,4
350,85.0,0.0,1,20
351,90.0,0.0,1,8
352,59.0,0.0,1,18
353,41.0,0.0,1,4
354,42.0,0.0,1,5
355,67.0,0.0,1,9
356,27.0,0.0,1,1
357,70.0,0.0,1,14
358,,0.0,1,0
359,36.0,0.0,1,6
360,61.0,0.0,1,4
361,36.0,0.0,1,12
362,78.0,0.0,1,4
363,29.0,0.0,1,3
364,87.0,0.0,1,7
365,56.0,0.0,1,5
366,82.0,0.0,1,4
367,39.0,0.0,1,3
368,46.0,0.0,1,4
369,78.0,0.0,1,3
370,81.0,0.0,1,11
371,83.0,0.0,1,11
372,76.0,0.0,1,6
373,89.0,0.0,1,12
374,86.0,0.0,1,8
375,38.0,0.0,1,1
376,92.0,0.0,1,7
377,93.0,0.0,1,16
378,94.0,0.0,1,9
379,,inf,0,0
380,85.0,0.0,1,16
381,,inf,0,0
382,50.0,0.0,1,1
383,89.0,0.0,1,12
384,83.0,0.0,1,5
385,43.0,0.0,1,1
386,71.0,0.0,1,6
387,89.0,0.0,1,21
388,59.0,0.0,1,18
389,41.0,0.0,1,4
390,42.0,0.0,1,5
391,67.0,0.0,1,9
392,27.0,0.0,1,1
393,70.0,0.0,1,14
394,,0.0,1,0
395,36.0,0.0,1,6
396,61.0,0.0,1,4
397,36.0,0.0,1,12
398,78.0,0.0,1,4
399,29.0,0.0,1,3
400,87.0,0.0,1,7
401,56.0,0.0,1,5
402,82.0,0.0,1,4
403,39.0,0.0,1,3
404,46.0,0.0,1,4
405,78.0,0.0,1,3
406,81.0,0.0,1,11
407,83.0,0.0,1,11
408,76.0,0.0,1,6
409,89.0,0.0,1,12
410,86.0,0.0,1,8
411,38.0,0.0,1,1
412,92.0,0.0,1,7
413,93.0,0.0,1,16
414,94.0,0.0,1,9
415,,inf,0,0
416,85.0,0.0,1,16
417,,inf,0,0
418,50.0,0.0,1,1
419,89.0,0.0,1,12
420,83.0,0.0,1,5
421,43.0,0.0,1,1
422,71.0,0.0,1,6
423,89.0,0.0,1,21
424,40.0,0.0,1,2
425,39.0,0.0,1,3
426,82.0,0.0,1,4
427,24.0,0.0,1,2
428,76.0,0.0,1,6
429,32.0,0.0,1,1
430,42.0,0.0,1,3
431,26.0,0.0,1,1
432,78.0,0.0,1,6
433,41.0,0.0,1,2
434,68.0,0.0,1,3
435,33.0,0.0,1,4
436,60.0,0.0,1,3
437,58.0,0.0,1,4
438,71.0,0.0,1,3
439,36.0,0.0,1,1
440,54.0,0.0,1,1
441,43.0,0.0,1,1
442,,inf,0,0
443,33.0,0.0,1,3
444,47.0,0.0,1,2
445,42.0,0.0,1,3
446,73.0,0.0,1,8
447,60.0,0.0,1,3
448,33.0,0.0,1,4
449,58.0,0.0,1,4
450,45.0,0.0,1,4
451,65.0,0.0,1,5
452,34.0,0.0,1,3
453,41.0,0.0,1,2
454,68.0,0.0,1,3
